uid,namedLocation,siteID,domainID,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks,dataQF
"8b47a215-420e-4011-8f95-8abd851ab91a","BLAN_004.tickPlot.tck","BLAN","D02","BLAN_004","2020-07-06T13:57Z","2020-12-28T17:00Z","BLAN_004.20200706","BLAN_004.20200706.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Cooley, R. A. 1938. The genera Dermacentor and Otocentor (Ixodidae) in the United States, with studies in variation. US Government Printing Office.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Female",1,"OK","95% ethanol","USNMENT1512743",,"L. Beati","Georgia Southern University",,
"52e11341-b963-4bcf-9173-e0fd26721147","BLAN_005.tickPlot.tck","BLAN","D02","BLAN_005","2020-07-06T15:14Z","2020-12-28T17:00Z","BLAN_005.20200706","BLAN_005.20200706.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",1,"OK","95% ethanol","USNMENT1512755",,"L. Beati","Georgia Southern University",,
"56ffc82d-c8d7-47cc-a53f-31e1b9ba0c6f","BLAN_005.tickPlot.tck","BLAN","D02","BLAN_005","2020-07-06T15:14Z","2020-12-28T17:00Z","BLAN_005.20200706","BLAN_005.20200706.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",42,"OK","95% ethanol","USNMENT1512765",,"L. Beati","Georgia Southern University",,
"94cffbac-67d7-413f-a7e2-2227a34bb705","BLAN_005.tickPlot.tck","BLAN","D02","BLAN_005","2020-07-06T15:14Z","2020-12-28T17:00Z","BLAN_005.20200706","BLAN_005.20200706.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",1,"OK","95% ethanol","USNMENT1512756",,"L. Beati","Georgia Southern University",,
"328d28e8-d24b-47cd-a3d6-5a821b20bb87","BLAN_012.tickPlot.tck","BLAN","D02","BLAN_012","2020-07-06T17:05Z","2020-12-28T17:00Z","BLAN_012.20200706","BLAN_012.20200706.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",1,"OK","95% ethanol","USNMENT1512775",,"L. Beati","Georgia Southern University",,
"8dedca99-34a9-44fd-b48a-45f494a1752d","BLAN_012.tickPlot.tck","BLAN","D02","BLAN_012","2020-07-06T17:05Z","2020-12-28T17:00Z","BLAN_012.20200706","BLAN_012.20200706.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",1,"OK","95% ethanol","USNMENT1512760",,"L. Beati","Georgia Southern University",,
"c2ecb95d-8f2e-40ca-b712-70403e00d632","BLAN_015.tickPlot.tck","BLAN","D02","BLAN_015","2020-07-27T13:17Z","2020-12-28T17:00Z","BLAN_015.20200727","BLAN_015.20200727.DERVAR.M","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Cooley, R. A. 1938. The genera Dermacentor and Otocentor (Ixodidae) in the United States, with studies in variation. US Government Printing Office.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Male",1,"OK","95% ethanol","USNMENT1512742",,"L. Beati","Georgia Southern University",,
"48440803-36f5-4762-96f1-e8fa8339439d","BLAN_012.tickPlot.tck","BLAN","D02","BLAN_012","2020-07-27T14:03Z","2020-12-28T17:00Z","BLAN_012.20200727","BLAN_012.20200727.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",1,"OK","95% ethanol","USNMENT1512757",,"L. Beati","Georgia Southern University",,
"ea35ae7a-dd42-4043-b47a-ddb14d71a3e8","BLAN_012.tickPlot.tck","BLAN","D02","BLAN_012","2020-07-27T14:03Z","2020-12-28T17:00Z","BLAN_012.20200727","BLAN_012.20200727.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",3,"OK","95% ethanol","USNMENT1512762",,"L. Beati","Georgia Southern University",,
"9ff9e15c-8bf9-4fd1-ac2e-0fa1070717f0","BLAN_005.tickPlot.tck","BLAN","D02","BLAN_005","2020-07-27T15:01Z","2020-12-28T17:00Z","BLAN_005.20200727","BLAN_005.20200727.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",74,"OK","95% ethanol","USNMENT1512745",,"L. Beati","Georgia Southern University",,
"211a7c51-87ae-4e06-85a7-e1c06a94ccb5","BLAN_020.tickPlot.tck","BLAN","D02","BLAN_020","2020-07-27T17:04Z","2020-12-28T17:00Z","BLAN_020.20200727","BLAN_020.20200727.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",28,"OK","95% ethanol","USNMENT1512761",,"L. Beati","Georgia Southern University",,
"5300904a-726b-4938-abee-86488a1503be","BLAN_008.tickPlot.tck","BLAN","D02","BLAN_008","2020-07-27T18:51Z","2020-12-28T17:00Z","BLAN_008.20200727","BLAN_008.20200727.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",2,"OK","95% ethanol","USNMENT1512767",,"L. Beati","Georgia Southern University",,
